"date","datetime","time","open","high","low","close","volumefrom","volumeto"
2017-09-04,2017-09-04T00:00:00Z,1504483200,6018.4,6020.52,5300.43,5720.96,295.43,1718243.58
2017-09-05,2017-09-05T00:00:00Z,1504569600,5720.96,5884.25,5213.93,5836.53,728.22,4060403.55
2017-09-06,2017-09-06T00:00:00Z,1504656000,5836.53,6045.16,5704.5,6028.33,567.66,3323994.86
2017-09-07,2017-09-07T00:00:00Z,1504742400,6028.33,6032.47,5772.23,5962.79,480.32,2834052.98
2017-09-08,2017-09-08T00:00:00Z,1504828800,5962.79,5998.31,5355.65,5540.73,802.47,4551977
2017-09-09,2017-09-09T00:00:00Z,1504915200,5540.73,5637.11,5382.24,5509.4,330.7,1823394.9
2017-09-10,2017-09-10T00:00:00Z,1505001600,5509.4,5597.87,5020.3,5319.46,572.74,2996413.46
2017-09-11,2017-09-11T00:00:00Z,1505088000,5319.46,5476,5049.79,5308.7,501.75,2650407.41
2017-09-12,2017-09-12T00:00:00Z,1505174400,5308.7,5433.6,5116.09,5267.58,608.86,3233805.85
2017-09-13,2017-09-13T00:00:00Z,1505260800,5267.58,5273.81,4720.47,4922.76,670.33,3331740.71
2017-09-14,2017-09-14T00:00:00Z,1505347200,4922.76,4972.85,3936.59,3977.67,1417.06,6186163.18
2017-09-15,2017-09-15T00:00:00Z,1505433600,3977.67,4906.85,3618.72,4776.15,1925.54,8055772.02
2017-09-16,2017-09-16T00:00:00Z,1505520000,4776.15,4920.99,4262.44,4618.88,3750.03,17092638.28
2017-09-17,2017-09-17T00:00:00Z,1505606400,4618.88,4736.23,4339.45,4593.05,3503.81,16131803.49
2017-09-18,2017-09-18T00:00:00Z,1505692800,4593.05,5213.47,4589.36,5140.74,1280.18,6161093.34
2017-09-19,2017-09-19T00:00:00Z,1505779200,5140.74,5282.39,4776.74,4846.69,628.29,3119244.51
2017-09-20,2017-09-20T00:00:00Z,1505865600,4846.69,5258.42,4775.16,4898.04,480.76,2351264.79
2017-09-21,2017-09-21T00:00:00Z,1505952000,4898.04,4930.68,4563.07,4579.99,1080.3,5082837.12
2017-09-22,2017-09-22T00:00:00Z,1506038400,4579.99,4719.75,4444.2,4550.89,1756.47,8020901.56
2017-09-23,2017-09-23T00:00:00Z,1506124800,4550.89,4802.02,4494.31,4752.11,6885.63,32223609.79
2017-09-24,2017-09-24T00:00:00Z,1506211200,4752.11,4757.45,4578.16,4625.38,3696.79,17263852.28
2017-09-25,2017-09-25T00:00:00Z,1506297600,4625.38,5024.08,4615.07,4962.25,1146.41,5533231.17
2017-09-26,2017-09-26T00:00:00Z,1506384000,4962.25,5201.19,4857.09,4922.72,1001.5,4942718.51
2017-09-27,2017-09-27T00:00:00Z,1506470400,4922.72,5360.62,4903.46,5359.43,1136.18,5785359.82
2017-09-28,2017-09-28T00:00:00Z,1506556800,5359.43,5444.44,5246.89,5325.71,1285.31,6842071.98
2017-09-29,2017-09-29T00:00:00Z,1506643200,5325.71,5415.48,5110.93,5284.33,1626.63,8547371.42
2017-09-30,2017-09-30T00:00:00Z,1506729600,5284.33,5566.06,5278.3,5528.35,1608.82,8711623.44
